MOEX GROWTH SCAN 2026-05 (as of 2026-05-26)
Pool: 100 | Passed forecast+filters: 73
Forecast model trained on 1158 samples

  # Tkr     Fcst1m%   Mom6m%  vsIMOEX   VolMln    Score
----------------------------------------------------------
  1 SBER       -1.4      7.8     11.5   5516.9    13.82
  2 VTBR       -1.8     30.7     34.4   4716.1    11.33
  3 ROSN       -0.9      9.3     13.0   4444.4    11.33
  4 GAZP       -0.5     -1.5      2.3   4171.3    10.92
  5 SMLT        4.6    -28.0    -24.3   2391.7    10.39
  6 YDEX        0.6     -3.5      0.2   2106.6     6.25
  7 LKOH       -0.4     -0.3      3.5   2370.0     6.08
  8 PLZL        1.0     -3.2      0.5   1902.7     6.04
  9 SFIN        4.7    -45.6    -41.9    534.6     5.42
 10 NVTK       -0.6      0.6      4.3   2104.4     5.25
 11 T          -0.2     -2.1      1.6   1858.2     4.91
 12 GMKN       -0.1      6.6     10.3   1825.4     4.89
 13 MAGN        0.9      2.9      6.7   1236.2     4.15
 14 AFLT        1.4    -13.0     -9.2    841.6     3.44
 15 OZON        0.8    -11.4     -7.6    913.5     3.19
 16 ALRS        1.6    -21.3    -17.6    634.7     3.13
 17 X5          0.2     -6.8     -3.0   1093.4     3.11
 18 AFKS        1.0     -6.4     -2.7    639.8     2.62
 19 CHMF        1.0    -12.1     -8.4    587.0     2.48
 20 TATN       -0.4      1.4      5.1    998.9     2.40
